user_id,author_original,total_comments,query_comments,candidate_comments
user_0736,sitkack,1000,500,500
user_0737,simonw,1000,500,500
user_0738,simonh,1000,0,500
user_0739,simonebrunozzi,1000,500,500
user_0740,simonblack,1000,500,500
user_0741,simion314,1000,0,500
user_0742,simias,1000,0,500
user_0743,sillysaurusx,1000,0,500
user_0744,sillysaurus3,1000,500,500
user_0745,silisili,1000,0,500
user_0746,sidlls,1000,500,500
user_0747,sidcool,1000,500,500
user_0748,shmerl,1000,500,500
user_0749,shkkmo,1000,0,500
user_0750,jefftk,1000,500,500
user_0751,jeffbee,1000,0,500
user_0752,jedberg,1000,500,500
user_0753,_heimdall,1000,0,500
user_0754,acqq,1000,500,500
user_0755,acdha,1000,500,500
user_0756,account42,1000,500,500
user_0757,abecedarius,1000,0,500
user_0758,aaronbrethorst,1000,0,500
user_0759,aaron695,1000,500,500
user_0760,aaomidi,1000,500,500
user_0761,a3n,1000,0,500
user_0762,_ph_,1000,0,500
user_0763,_ea1k,1000,500,500
user_0764,Xylakant,1000,0,500
user_0765,_delirium,1000,500,500
user_0766,__MatrixMan__,1000,0,500
user_0767,_8j50,1000,500,500
user_0768,Zigurd,1000,500,500
user_0769,ZeroGravitas,1000,500,500
user_0770,ZenoArrow,1000,0,500
user_0771,Zak,1000,0,500
user_0772,Ygg2,1000,0,500
user_0773,YeGoblynQueenne,1000,0,500
user_0774,actionfromafar,1000,500,500
user_0775,adamnemecek,1000,0,500
user_0776,adastra22,1000,0,500
user_0777,adolph,1000,0,500
user_0778,amelius,1000,500,500
user_0779,amanaplanacanal,1000,0,500
user_0780,alkonaut,1000,500,500
user_0781,alistairSH,1000,500,500
user_0782,alephnerd,1000,500,500
user_0783,al_borland,1000,0,500
user_0784,akira2501,1000,500,500
user_0785,ajuc,1000,500,500
user_0786,ajsnigrutin,1000,500,500
user_0787,ajross,1000,500,500
user_0788,ajmurmann,1000,500,500
user_0789,airstrike,1000,0,500
user_0790,aidenn0,1000,0,500
user_0791,agumonkey,1000,0,500
user_0792,afavour,1000,500,500
user_0793,afarrell,1000,0,500
user_0794,adventured,1000,0,500
