T_level,user_id,input_path,output_path,status,error,input_words,output_words,model
T8,user_02d03e8a,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T8/user_02d03e8a.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_02d03e8a.txt,ok,,15068,330,gpt-4o-mini
T8,user_02d8a1f8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T8/user_02d8a1f8.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_02d8a1f8.txt,ok,,7246,354,gpt-4o-mini
T8,user_02fecea2,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T8/user_02fecea2.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_02fecea2.txt,ok,,7939,368,gpt-4o-mini
T8,user_03410579,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T8/user_03410579.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_03410579.txt,ok,,22682,414,gpt-4o-mini
T8,user_043ea160,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T8/user_043ea160.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_043ea160.txt,ok,,21426,381,gpt-4o-mini
T8,user_04d29f9c,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T8/user_04d29f9c.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_04d29f9c.txt,ok,,11844,354,gpt-4o-mini
T8,user_04d8419e,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T8/user_04d8419e.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T8/user_04d8419e.txt,ok,,23761,353,gpt-4o-mini
T1,user_0168255c,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T1/user_0168255c.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T1/user_0168255c.txt,skipped_existing,,145,244,gpt-4o-mini
T1,user_02016939,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T1/user_02016939.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T1/user_02016939.txt,skipped_existing,,86,233,gpt-4o-mini
T1,user_0285dee3,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T1/user_0285dee3.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T1/user_0285dee3.txt,skipped_existing,,39,196,gpt-4o-mini
