user_id,input_path,output_path,status,error,original_input_words,sent_input_words,was_truncated,output_words,model
user_147d1bbb,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_147d1bbb.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_147d1bbb.txt,skipped_existing,,22559,22559,0,395,gpt-4o-mini
user_14a2d3c6,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_14a2d3c6.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_14a2d3c6.txt,skipped_existing,,8731,8731,0,345,gpt-4o-mini
user_15179955,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_15179955.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_15179955.txt,skipped_existing,,21587,21587,0,359,gpt-4o-mini
user_159646d5,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_159646d5.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_159646d5.txt,skipped_existing,,8976,8976,0,353,gpt-4o-mini
user_164057cc,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_164057cc.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_164057cc.txt,skipped_existing,,7284,7284,0,365,gpt-4o-mini
user_164fe4b8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_164fe4b8.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_164fe4b8.txt,skipped_existing,,17302,17302,0,345,gpt-4o-mini
user_165a2706,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_165a2706.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_165a2706.txt,skipped_existing,,12948,12948,0,416,gpt-4o-mini
user_166a3647,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_166a3647.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_166a3647.txt,skipped_existing,,17462,17462,0,296,gpt-4o-mini
user_16ac4154,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_16ac4154.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_16ac4154.txt,skipped_existing,,16493,16493,0,384,gpt-4o-mini
user_16b87e34,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_16b87e34.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_16b87e34.txt,skipped_existing,,24673,24673,0,360,gpt-4o-mini
